Name,Sex,Number of Beds,Purpose,Date,Time
Cygnet Hospital Hexham,Female,1,Acute/PICU,2024-09-11,10:16:46
Cygnet Hospital Harrogate,Female,1,Acute/PICU,2024-09-11,10:16:46
Cygnet Delfryn House,Male,6,Rehab,2024-09-12,10:17:38
Cygnet Lodge Salford,Female,5,Rehab,2024-09-12,10:17:38
Cygnet Hospital Derby,Male,4,Rehab,2024-09-12,10:17:38
Cygnet Hospital Kewstoke,Male,4,Rehab,2024-09-12,10:17:38
Cygnet Fountains,Male,4,Rehab,2024-09-12,10:17:38
Cygnet St Augustine’s,Male,4,Rehab,2024-09-12,10:17:38
Cygnet Storthfield House,Male,4,Rehab,2024-09-12,10:17:38
Cygnet Hospital Maidstone,Male,3,Rehab,2024-09-12,10:17:38
Cygnet Oaks,Male,3,Rehab,2024-09-12,10:17:38
Cygnet Sherwood House,Male,3,Rehab,2024-09-12,10:17:38
Cygnet Lodge Kenton,Female,2,Rehab,2024-09-12,10:17:38
Ty Alarch,Female,2,Rehab,2024-09-12,10:17:38
Cygnet Churchill,Male,2,Rehab,2024-09-12,10:17:38
1 Vincent Court,Male,2,Rehab,2024-09-12,10:17:38
15 The Sycamores,Male,2,Rehab,2024-09-12,10:17:38
Cygnet Delfryn Lodge,Female,2,Rehab,2024-09-12,10:17:38
Cygnet Aspen House,Female,2,Rehab,2024-09-12,10:17:38
12 Woodcross Street,Male,1,Rehab,2024-09-12,10:17:38
Cygnet St Teilo House,Female,1,Rehab,2024-09-12,10:17:38
20A and 20B Turls Hill Road,Male,1,Rehab,2024-09-12,10:17:38
Cygnet Hospital Colchester,Male,1,Rehab,2024-09-12,10:17:38
Cygnet Lodge Woking,Male,1,Rehab,2024-09-12,10:17:38
Cygnet Hospital Beckton,Female,4,PDU,2024-09-12,10:17:38
Cygnet Hospital Kewstoke,Female,3,PDU,2024-09-12,10:17:38
Cygnet Hospital Maidstone,Female,3,PDU,2024-09-12,10:17:38
Cygnet Maple House,Female,3,PDU,2024-09-12,10:17:38
Cygnet Hospital Bury,Male,1,PDU,2024-09-12,10:17:38
Cygnet Hospital Clifton,Male,1,PDU,2024-09-12,10:17:38
Cygnet Acer Clinic,Female,1,PDU,2024-09-12,10:17:38
Cygnet Hospital Sherwood,Male,4,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Wolverhampton,Male,4,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Taunton,Male,4,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Wolverhampton,Male,4,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Oldbury,Female,4,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Taunton,Female,4,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Sherwood,Male,3,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Beckton,Female,3,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Stevenage,Male,3,Acute/PICU,2024-09-12,10:17:38
Cygnet Appletree,Female,2,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Godden Green,Female,2,Acute/PICU,2024-09-12,10:17:38
Cygnet Victoria House,Male,2,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Oldbury,Female,2,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Stevenage,Male,2,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Kewstoke,Male,2,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Kewstoke,Female,2,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Hexham,Female,1,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Maidstone,Male,1,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Kewstoke,Male,1,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Godden Green,Female,1,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Harrogate,Female,1,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Bierley,Male,1,Acute/PICU,2024-09-12,10:17:38
Cygnet Hospital Bierley,Female,1,Acute/PICU,2024-09-12,10:17:38
Cygnet Appletree,Female,1,Acute/PICU,2024-09-12,10:17:38
Cygnet Lodge Salford,Female,5,Rehab,2024-09-13,10:17:00
Cygnet Hospital Derby,Male,4,Rehab,2024-09-13,10:17:00
Cygnet Hospital Kewstoke,Male,4,Rehab,2024-09-13,10:17:00
Cygnet Delfryn House,Male,4,Rehab,2024-09-13,10:17:00
Cygnet Fountains,Male,4,Rehab,2024-09-13,10:17:00
Cygnet St Augustine’s,Male,4,Rehab,2024-09-13,10:17:00
Cygnet Storthfield House,Male,4,Rehab,2024-09-13,10:17:00
Cygnet Hospital Maidstone,Male,3,Rehab,2024-09-13,10:17:00
Cygnet Oaks,Male,3,Rehab,2024-09-13,10:17:00
Cygnet Sherwood House,Male,3,Rehab,2024-09-13,10:17:00
Cygnet Lodge Kenton,Female,2,Rehab,2024-09-13,10:17:00
Ty Alarch,Female,2,Rehab,2024-09-13,10:17:00
Cygnet Churchill,Male,2,Rehab,2024-09-13,10:17:00
1 Vincent Court,Male,2,Rehab,2024-09-13,10:17:00
15 The Sycamores,Male,2,Rehab,2024-09-13,10:17:00
Cygnet Delfryn Lodge,Female,2,Rehab,2024-09-13,10:17:00
Cygnet Aspen House,Female,2,Rehab,2024-09-13,10:17:00
12 Woodcross Street,Male,1,Rehab,2024-09-13,10:17:00
Cygnet St Teilo House,Female,1,Rehab,2024-09-13,10:17:00
20A and 20B Turls Hill Road,Male,1,Rehab,2024-09-13,10:17:00
Cygnet Hospital Colchester,Male,1,Rehab,2024-09-13,10:17:00
Cygnet Lodge Woking,Male,1,Rehab,2024-09-13,10:17:00
Cygnet Hospital Kewstoke,Female,4,PDU,2024-09-13,10:17:00
Cygnet Hospital Beckton,Female,4,PDU,2024-09-13,10:17:00
Cygnet Hospital Maidstone,Female,3,PDU,2024-09-13,10:17:00
Cygnet Maple House,Female,3,PDU,2024-09-13,10:17:00
Cygnet Hospital Bury,Male,1,PDU,2024-09-13,10:17:00
Cygnet Hospital Clifton,Male,1,PDU,2024-09-13,10:17:00
Cygnet Acer Clinic,Female,1,PDU,2024-09-13,10:17:00
Cygnet Hospital Taunton,Male,4,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Wolverhampton,Male,4,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Taunton,Female,4,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Oldbury,Female,4,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Oldbury,Female,4,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Wolverhampton,Male,3,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Stevenage,Male,3,Acute/PICU,2024-09-13,10:17:00
Cygnet Appletree,Female,2,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Beckton,Female,2,Acute/PICU,2024-09-13,10:17:00
Cygnet Victoria House,Male,2,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Kewstoke,Female,2,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Maidstone,Male,2,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Kewstoke,Male,2,Acute/PICU,2024-09-13,10:17:00
Cygnet Appletree,Female,1,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Godden Green,Female,1,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Sherwood,Male,1,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Hexham,Female,1,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Kewstoke,Male,1,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Bierley,Male,1,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Harrogate,Female,1,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Bierley,Female,1,Acute/PICU,2024-09-13,10:17:00
Cygnet Hospital Beckton,Female,1,Acute/PICU,2024-09-13,10:17:00
Cygnet Lodge Salford,Female,5,Rehab,2024-09-14,10:15:16
Cygnet Hospital Derby,Male,4,Rehab,2024-09-14,10:15:16
Cygnet Hospital Kewstoke,Male,4,Rehab,2024-09-14,10:15:16
Cygnet Delfryn House,Male,4,Rehab,2024-09-14,10:15:16
Cygnet Fountains,Male,4,Rehab,2024-09-14,10:15:16
Cygnet St Augustine’s,Male,4,Rehab,2024-09-14,10:15:16
Cygnet Storthfield House,Male,4,Rehab,2024-09-14,10:15:16
Cygnet Hospital Maidstone,Male,3,Rehab,2024-09-14,10:15:16
Cygnet Oaks,Male,3,Rehab,2024-09-14,10:15:16
Cygnet Sherwood House,Male,3,Rehab,2024-09-14,10:15:16
Cygnet Lodge Kenton,Female,2,Rehab,2024-09-14,10:15:16
Ty Alarch,Female,2,Rehab,2024-09-14,10:15:16
Cygnet Churchill,Male,2,Rehab,2024-09-14,10:15:16
1 Vincent Court,Male,2,Rehab,2024-09-14,10:15:16
15 The Sycamores,Male,2,Rehab,2024-09-14,10:15:16
Cygnet Delfryn Lodge,Female,2,Rehab,2024-09-14,10:15:16
Cygnet Aspen House,Female,2,Rehab,2024-09-14,10:15:16
12 Woodcross Street,Male,1,Rehab,2024-09-14,10:15:16
Cygnet St Teilo House,Female,1,Rehab,2024-09-14,10:15:16
20A and 20B Turls Hill Road,Male,1,Rehab,2024-09-14,10:15:16
Cygnet Hospital Colchester,Male,1,Rehab,2024-09-14,10:15:16
Cygnet Lodge Woking,Male,1,Rehab,2024-09-14,10:15:16
Cygnet Hospital Kewstoke,Female,4,PDU,2024-09-14,10:15:16
Cygnet Hospital Beckton,Female,4,PDU,2024-09-14,10:15:16
Cygnet Hospital Maidstone,Female,3,PDU,2024-09-14,10:15:16
Cygnet Maple House,Female,3,PDU,2024-09-14,10:15:16
Cygnet Hospital Bury,Male,1,PDU,2024-09-14,10:15:16
Cygnet Hospital Clifton,Male,1,PDU,2024-09-14,10:15:16
Cygnet Acer Clinic,Female,1,PDU,2024-09-14,10:15:16
Cygnet Hospital Taunton,Male,4,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Oldbury,Female,4,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Taunton,Female,4,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Stevenage,Male,4,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Oldbury,Female,3,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Wolverhampton,Male,3,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Sherwood,Male,2,Acute/PICU,2024-09-14,10:15:16
Cygnet Victoria House,Male,2,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Beckton,Female,2,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Taunton,Male,2,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Stevenage,Male,2,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Kewstoke,Female,2,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Wolverhampton,Male,2,Acute/PICU,2024-09-14,10:15:16
Cygnet Appletree,Female,2,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Bierley,Female,2,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Sherwood,Male,1,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Kewstoke,Male,1,Acute/PICU,2024-09-14,10:15:16
Cygnet Appletree,Female,1,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Bierley,Male,1,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Godden Green,Female,1,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Beckton,Female,1,Acute/PICU,2024-09-14,10:15:16
Cygnet Hospital Kewstoke,Male,1,Acute/PICU,2024-09-14,10:15:16
Cygnet Lodge Salford,Female,5,Rehab,2024-09-15,10:15:49
Cygnet Hospital Derby,Male,4,Rehab,2024-09-15,10:15:49
Cygnet Hospital Kewstoke,Male,4,Rehab,2024-09-15,10:15:49
Cygnet Delfryn House,Male,4,Rehab,2024-09-15,10:15:49
Cygnet Fountains,Male,4,Rehab,2024-09-15,10:15:49
Cygnet St Augustine’s,Male,4,Rehab,2024-09-15,10:15:49
Cygnet Storthfield House,Male,4,Rehab,2024-09-15,10:15:49
Cygnet Hospital Maidstone,Male,3,Rehab,2024-09-15,10:15:49
Cygnet Oaks,Male,3,Rehab,2024-09-15,10:15:49
Cygnet Sherwood House,Male,3,Rehab,2024-09-15,10:15:49
Cygnet Lodge Kenton,Female,2,Rehab,2024-09-15,10:15:49
Ty Alarch,Female,2,Rehab,2024-09-15,10:15:49
Cygnet Churchill,Male,2,Rehab,2024-09-15,10:15:49
1 Vincent Court,Male,2,Rehab,2024-09-15,10:15:49
15 The Sycamores,Male,2,Rehab,2024-09-15,10:15:49
Cygnet Delfryn Lodge,Female,2,Rehab,2024-09-15,10:15:49
Cygnet Aspen House,Female,2,Rehab,2024-09-15,10:15:49
12 Woodcross Street,Male,1,Rehab,2024-09-15,10:15:49
Cygnet St Teilo House,Female,1,Rehab,2024-09-15,10:15:49
20A and 20B Turls Hill Road,Male,1,Rehab,2024-09-15,10:15:49
Cygnet Hospital Colchester,Male,1,Rehab,2024-09-15,10:15:49
Cygnet Lodge Woking,Male,1,Rehab,2024-09-15,10:15:49
Cygnet Hospital Kewstoke,Female,4,PDU,2024-09-15,10:15:49
Cygnet Hospital Beckton,Female,4,PDU,2024-09-15,10:15:49
Cygnet Hospital Maidstone,Female,3,PDU,2024-09-15,10:15:49
Cygnet Maple House,Female,3,PDU,2024-09-15,10:15:49
Cygnet Hospital Bury,Male,1,PDU,2024-09-15,10:15:49
Cygnet Hospital Clifton,Male,1,PDU,2024-09-15,10:15:49
Cygnet Acer Clinic,Female,1,PDU,2024-09-15,10:15:49
Cygnet Hospital Oldbury,Female,4,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Oldbury,Female,4,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Taunton,Female,4,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Stevenage,Male,4,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Beckton,Female,3,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Taunton,Male,3,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Wolverhampton,Male,2,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Wolverhampton,Male,2,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Godden Green,Female,2,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Stevenage,Male,2,Acute/PICU,2024-09-15,10:15:49
Cygnet Appletree,Female,2,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Bierley,Female,2,Acute/PICU,2024-09-15,10:15:49
Cygnet Appletree,Female,2,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Taunton,Male,2,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Sherwood,Male,1,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Hexham,Female,1,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Sherwood,Male,1,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Woking,Female,1,Acute/PICU,2024-09-15,10:15:49
Cygnet Victoria House,Male,1,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Kewstoke,Female,1,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Kewstoke,Male,1,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Bierley,Male,1,Acute/PICU,2024-09-15,10:15:49
Cygnet Hospital Bury,Male,1,Acute/PICU,2024-09-15,10:15:49
Cygnet Lodge Salford,Female,5,Rehab,2024-09-16,10:18:19
Cygnet Hospital Derby,Male,4,Rehab,2024-09-16,10:18:19
Cygnet Hospital Kewstoke,Male,4,Rehab,2024-09-16,10:18:19
Cygnet Delfryn House,Male,4,Rehab,2024-09-16,10:18:19
Cygnet Fountains,Male,4,Rehab,2024-09-16,10:18:19
Cygnet St Augustine’s,Male,4,Rehab,2024-09-16,10:18:19
Cygnet Storthfield House,Male,4,Rehab,2024-09-16,10:18:19
Cygnet Hospital Maidstone,Male,3,Rehab,2024-09-16,10:18:19
Cygnet Oaks,Male,3,Rehab,2024-09-16,10:18:19
Cygnet Sherwood House,Male,3,Rehab,2024-09-16,10:18:19
Cygnet Lodge Kenton,Female,2,Rehab,2024-09-16,10:18:19
Ty Alarch,Female,2,Rehab,2024-09-16,10:18:19
Cygnet Churchill,Male,2,Rehab,2024-09-16,10:18:19
1 Vincent Court,Male,2,Rehab,2024-09-16,10:18:19
15 The Sycamores,Male,2,Rehab,2024-09-16,10:18:19
Cygnet Delfryn Lodge,Female,2,Rehab,2024-09-16,10:18:19
Cygnet Aspen House,Female,2,Rehab,2024-09-16,10:18:19
12 Woodcross Street,Male,1,Rehab,2024-09-16,10:18:19
Cygnet St Teilo House,Female,1,Rehab,2024-09-16,10:18:19
20A and 20B Turls Hill Road,Male,1,Rehab,2024-09-16,10:18:19
Cygnet Hospital Colchester,Male,1,Rehab,2024-09-16,10:18:19
Cygnet Lodge Woking,Male,1,Rehab,2024-09-16,10:18:19
Cygnet Hospital Kewstoke,Female,4,PDU,2024-09-16,10:18:19
Cygnet Hospital Beckton,Female,4,PDU,2024-09-16,10:18:19
Cygnet Hospital Maidstone,Female,3,PDU,2024-09-16,10:18:19
Cygnet Maple House,Female,3,PDU,2024-09-16,10:18:19
Cygnet Hospital Bury,Male,2,PDU,2024-09-16,10:18:19
Cygnet Hospital Clifton,Male,1,PDU,2024-09-16,10:18:19
Cygnet Acer Clinic,Female,1,PDU,2024-09-16,10:18:19
Cygnet Hospital Taunton,Male,4,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Beckton,Female,4,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Oldbury,Female,4,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Oldbury,Female,4,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Taunton,Female,4,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Stevenage,Male,4,Acute/PICU,2024-09-16,10:18:19
Cygnet Appletree,Female,3,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Wolverhampton,Male,3,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Wolverhampton,Male,2,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Taunton,Male,2,Acute/PICU,2024-09-16,10:18:19
Cygnet Appletree,Female,2,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Godden Green,Female,2,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Kewstoke,Male,1,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Bierley,Female,1,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Bierley,Male,1,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Stevenage,Male,1,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Godden Green,Female,1,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Bury,Male,1,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Kewstoke,Female,1,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Sherwood,Male,1,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Sherwood,Male,1,Acute/PICU,2024-09-16,10:18:19
Cygnet Hospital Sherwood,Male,1,Acute/PICU,2024-09-16,10:18:19
Cygnet Lodge Salford,Female,5,Rehab,2024-09-17,10:17:18
Cygnet Hospital Derby,Male,4,Rehab,2024-09-17,10:17:18
Cygnet Hospital Kewstoke,Male,4,Rehab,2024-09-17,10:17:18
Cygnet Delfryn House,Male,4,Rehab,2024-09-17,10:17:18
Cygnet Fountains,Male,4,Rehab,2024-09-17,10:17:18
Cygnet St Augustine’s,Male,4,Rehab,2024-09-17,10:17:18
Cygnet Storthfield House,Male,4,Rehab,2024-09-17,10:17:18
Cygnet Hospital Maidstone,Male,3,Rehab,2024-09-17,10:17:18
Cygnet Oaks,Male,3,Rehab,2024-09-17,10:17:18
Cygnet Sherwood House,Male,3,Rehab,2024-09-17,10:17:18
Cygnet Lodge Kenton,Female,2,Rehab,2024-09-17,10:17:18
Ty Alarch,Female,2,Rehab,2024-09-17,10:17:18
Cygnet Churchill,Male,2,Rehab,2024-09-17,10:17:18
1 Vincent Court,Male,2,Rehab,2024-09-17,10:17:18
15 The Sycamores,Male,2,Rehab,2024-09-17,10:17:18
Cygnet Delfryn Lodge,Female,2,Rehab,2024-09-17,10:17:18
Cygnet Aspen House,Female,2,Rehab,2024-09-17,10:17:18
12 Woodcross Street,Male,1,Rehab,2024-09-17,10:17:18
Cygnet St Teilo House,Female,1,Rehab,2024-09-17,10:17:18
20A and 20B Turls Hill Road,Male,1,Rehab,2024-09-17,10:17:18
Cygnet Hospital Colchester,Male,1,Rehab,2024-09-17,10:17:18
Cygnet Lodge Woking,Male,1,Rehab,2024-09-17,10:17:18
Cygnet Hospital Kewstoke,Female,4,PDU,2024-09-17,10:17:18
Cygnet Hospital Beckton,Female,4,PDU,2024-09-17,10:17:18
Cygnet Hospital Maidstone,Female,3,PDU,2024-09-17,10:17:18
Cygnet Maple House,Female,3,PDU,2024-09-17,10:17:18
Cygnet Hospital Bury,Male,2,PDU,2024-09-17,10:17:18
Cygnet Hospital Clifton,Male,1,PDU,2024-09-17,10:17:18
Cygnet Acer Clinic,Female,1,PDU,2024-09-17,10:17:18
Cygnet Hospital Taunton,Female,4,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Taunton,Male,4,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Oldbury,Female,4,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Oldbury,Female,4,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Beckton,Female,3,Acute/PICU,2024-09-17,10:17:18
Cygnet Appletree,Female,3,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Wolverhampton,Male,3,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Wolverhampton,Male,3,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Stevenage,Male,3,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Sherwood,Male,2,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Wyke,Male,2,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Taunton,Male,2,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Bierley,Female,2,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Kewstoke,Male,2,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Godden Green,Female,2,Acute/PICU,2024-09-17,10:17:18
Cygnet Appletree,Female,2,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Sherwood,Male,1,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Stevenage,Male,1,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Bierley,Male,1,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Hexham,Female,1,Acute/PICU,2024-09-17,10:17:18
Cygnet Churchill,Male,1,Acute/PICU,2024-09-17,10:17:18
Cygnet Lodge Salford,Female,5,Rehab,2024-09-18,17:37:52
Cygnet Hospital Derby,Male,4,Rehab,2024-09-18,17:37:52
Cygnet Hospital Kewstoke,Male,4,Rehab,2024-09-18,17:37:52
Cygnet Delfryn House,Male,4,Rehab,2024-09-18,17:37:52
Cygnet Fountains,Male,4,Rehab,2024-09-18,17:37:52
Cygnet St Augustine’s,Male,4,Rehab,2024-09-18,17:37:52
Cygnet Storthfield House,Male,4,Rehab,2024-09-18,17:37:52
Cygnet Hospital Maidstone,Male,3,Rehab,2024-09-18,17:37:52
Cygnet Oaks,Male,3,Rehab,2024-09-18,17:37:52
Cygnet Sherwood House,Male,3,Rehab,2024-09-18,17:37:52
Cygnet Lodge Kenton,Female,2,Rehab,2024-09-18,17:37:52
Ty Alarch,Female,2,Rehab,2024-09-18,17:37:52
Cygnet Churchill,Male,2,Rehab,2024-09-18,17:37:52
1 Vincent Court,Male,2,Rehab,2024-09-18,17:37:52
15 The Sycamores,Male,2,Rehab,2024-09-18,17:37:52
Cygnet Delfryn Lodge,Female,2,Rehab,2024-09-18,17:37:52
Cygnet Aspen House,Female,2,Rehab,2024-09-18,17:37:52
12 Woodcross Street,Male,1,Rehab,2024-09-18,17:37:52
Cygnet St Teilo House,Female,1,Rehab,2024-09-18,17:37:52
20A and 20B Turls Hill Road,Male,1,Rehab,2024-09-18,17:37:52
Cygnet Hospital Colchester,Male,1,Rehab,2024-09-18,17:37:52
Cygnet Lodge Woking,Male,1,Rehab,2024-09-18,17:37:52
Cygnet Hospital Kewstoke,Female,4,PDU,2024-09-18,17:37:52
Cygnet Hospital Beckton,Female,4,PDU,2024-09-18,17:37:52
Cygnet Hospital Maidstone,Female,3,PDU,2024-09-18,17:37:52
Cygnet Maple House,Female,3,PDU,2024-09-18,17:37:52
Cygnet Hospital Bury,Male,1,PDU,2024-09-18,17:37:52
Cygnet Hospital Clifton,Male,1,PDU,2024-09-18,17:37:52
Cygnet Acer Clinic,Female,1,PDU,2024-09-18,17:37:52
Cygnet Hospital Oldbury,Female,4,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Oldbury,Female,4,Acute/PICU,2024-09-18,17:37:52
Cygnet Appletree,Female,3,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Bierley,Female,3,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Godden Green,Female,3,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Wolverhampton,Male,3,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Beckton,Female,3,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Taunton,Male,3,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Stevenage,Male,3,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Wolverhampton,Male,3,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Taunton,Female,2,Acute/PICU,2024-09-18,17:37:52
Cygnet Appletree,Female,2,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Wyke,Male,2,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Kewstoke,Male,1,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Stevenage,Male,1,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Stevenage,Female,1,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Kewstoke,Female,1,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Hexham,Female,1,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Kewstoke,Male,1,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Sherwood,Male,1,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Sherwood,Male,1,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Bierley,Male,1,Acute/PICU,2024-09-18,17:37:52
Cygnet Hospital Bury,Male,1,Acute/PICU,2024-09-18,17:37:52
Cygnet Lodge Salford,Female,5,Rehab,2024-09-19,19:11:19
Cygnet Hospital Derby,Male,4,Rehab,2024-09-19,19:11:19
Cygnet Hospital Kewstoke,Male,4,Rehab,2024-09-19,19:11:19
Cygnet Delfryn House,Male,4,Rehab,2024-09-19,19:11:19
Cygnet Fountains,Male,4,Rehab,2024-09-19,19:11:19
Cygnet St Augustine’s,Male,4,Rehab,2024-09-19,19:11:19
Cygnet Storthfield House,Male,4,Rehab,2024-09-19,19:11:19
Cygnet Hospital Maidstone,Male,3,Rehab,2024-09-19,19:11:19
Cygnet Oaks,Male,3,Rehab,2024-09-19,19:11:19
Cygnet Sherwood House,Male,3,Rehab,2024-09-19,19:11:19
Cygnet Lodge Kenton,Female,2,Rehab,2024-09-19,19:11:19
